1;;f;4;50;2
1;;f;4;55;2
1;;f;4;65;3
1;;f;4;70;3
1;;f;4;80;3
1;;f;4;999;3
1;;f;6;40;1
1;;f;6;50;2
1;;f;6;55;2
1;;f;6;65;3
1;;f;6;70;3
1;;f;6;80;3
1;;f;6;999;3
2;;f;4;50;2
2;;f;4;55;3
2;;f;4;65;3
2;;f;4;70;3
2;;f;4;80;4
2;;f;4;999;4
2;;f;6;50;2
2;;f;6;55;3
2;;f;6;65;3
2;;f;6;70;3
2;;f;6;80;3
2;;f;6;999;3
3;;f;4;50;3
3;;f;4;999;4
4;;f;4;50;3
4;;f;4;999;4
5;;f;4;50;3
5;;f;4;999;4
99;;f;4;999;4
1;;t;12;40;2
1;;t;12;50;3
1;;t;12;55;3
1;;t;12;65;3
1;;t;12;999;4
1;;t;14;40;2
1;;t;14;50;2
1;;t;14;55;2
1;;t;14;65;3
1;;t;14;999;4
1;;t;15;40;1
1;;t;15;50;1
1;;t;15;55;2
1;;t;15;65;3
1;;t;15;999;4
2;;t;15;40;2
2;;t;15;50;2
2;;t;15;55;3
2;;t;15;65;3
2;;t;15;999;4
3;t;t;12;40;2
3;t;t;12;50;2
3;t;t;12;55;3
3;t;t;12;65;3
3;t;t;12;999;4
3;;t;4;65;3
3;;t;4;999;4
4;;t;4;65;3
4;;t;4;999;4
5;;t;4;65;3
5;;t;4;999;4
6;;t;4;65;3
6;;t;4;999;4
