0;f;40;750;1
0;f;40;1500;1
0;f;40;3000;2
0;f;40;999999;3
0;f;50;750;1
0;f;50;1500;1
0;f;50;3000;2
0;f;50;999999;3
0;f;55;750;2
0;f;55;1500;2
0;f;55;3000;3
0;f;55;999999;4
0;f;65;750;2
0;f;65;1500;3
0;f;65;3000;3
0;f;65;999999;4
0;f;70;750;3
0;f;70;1500;3
0;f;70;3000;4
0;f;70;999999;4
0;f;80;750;3
0;f;80;1500;4
0;f;80;3000;4
0;f;80;999999;4
0;f;999;750;3
0;f;999;1500;4
0;f;999;3000;4
0;f;999;999999;4
1;t;40;750;1
1;t;40;1500;2
1;t;40;3000;2
1;t;40;6000;3
1;t;40;10000;3
1;t;40;999999;4
1;t;50;750;1
1;t;50;1500;2
1;t;50;3000;3
1;t;50;6000;3
1;t;50;10000;4
1;t;50;999999;4
1;t;55;1500;2
1;t;55;3000;3
1;t;55;6000;4
1;t;55;10000;4
1;t;55;999999;4
1;t;65;750;2
1;t;65;1500;3
1;t;65;3000;4
1;t;65;6000;4
1;t;65;10000;4
1;t;65;999999;4
1;t;70;750;4
1;t;70;1500;4
1;t;70;3000;4
1;t;70;6000;4
1;t;70;10000;4
1;t;70;999999;4
1;t;80;750;4
1;t;80;1500;4
1;t;80;3000;4
1;t;80;6000;4
1;t;80;10000;4
1;t;80;999999;4
1;t;999;750;4
1;t;999;1500;4
1;t;999;3000;4
1;t;999;6000;4
1;t;999;10000;4
1;t;999;999999;4
2;t;40;6000;3
2;t;40;12000;3
2;t;40;999999;4
2;t;50;6000;3
2;t;50;12000;3
2;t;50;999999;4
2;t;55;6000;3
2;t;55;12000;4
2;t;55;999999;4
2;t;65;6000;3
2;t;65;12000;4
2;t;65;999999;4
2;t;70;6000;4
2;t;70;12000;4
2;t;70;999999;4
2;t;80;6000;4
2;t;80;12000;4
2;t;80;999999;4
2;t;999;6000;4
2;t;999;12000;4
2;t;999;999999;4
3;t;999;999999;4
4;t;999;999999;4
5;t;999;999999;4
6;t;999;999999;4
1;t;55;750;2
